day	start_time	end_time	class	title	teacher	room
Monday	9:15	12:15	Human Anatomy & Physiology 2 Lab	BIO366 A	Dr. Christie Cesar	141
Monday	12:30	15:30	Human Anatomy & Physiology 2 Lab	BIO366 B	Dr. Kyle Flann	141
Wednesday	16:10	19:10	Human Anatomy & Physiology 2 Lab	BIO366 C	Prof. Chidi Okonkwo	141
Tuesday	9:45	12:45	Human Anatomy & Physiology 2 Lab	BIO366 D	Dr. Julia Ruppell	141
Tuesday	12:55	15:55	Human Anatomy & Physiology 2 Lab	BIO366 E	Dr. Julia Ruppell	141
Wednesday	9:15	12:15	Human Anatomy & Physiology 2 Lab	BIO366 F	Dr. Christie Cesar	141
Wednesday	12:30	15:30	Human Anatomy & Physiology 2 Lab	BIO366 G	Dr. Christie Cesar	141
Thursday	9:45	12:45	Human Anatomy & Physiology 2 Lab	BIO366 H	Dr. Julia Ruppell	141
Thursday	12:55	15:55	Human Anatomy & Physiology 2 Lab	BIO366 I	Dr. Julia Ruppell	141
Thursday	16:10	19:10	Human Anatomy & Physiology 2 Lab	BIO366 J	Dr. Elizabeth Ruegg	141
Monday	13:35	16:35	Intro Molecular/Cell Bio Lab	BIO277 A	Prof. Adrienne Greaves	145
Tuesday	8:10	11:10	Intro Molecular/Cell Bio Lab	BIO277 B	Prof. Adrienne Greaves	145
Tuesday	12:55	15:55	Intro Molecular/Cell Bio Lab	BIO277 C	Dr. Susan Murray	145
Wednesday	12:30	15:30	Intro Molecular/Cell Bio Lab	BIO277 D	Dr. Susan Murray	145
Thursday	12:55	15:55	Intro Evolution & Ecology Lab	BIO278 B	Dr. Kathleen O'Reilly	145
Friday	12:30	15:30	Intro Evolution & Ecology Lab	BIO278 C	Dr. Kathleen O'Reilly	145
Monday	9:15	12:15	Human Anatomy & Physiology 1 Lab	BIO365 A	Prof. John White	212
Monday	12:30	15:30	Human Anatomy & Physiology 1 Lab	BIO365 B	Dr. Glenna Clifton	212
Monday	16:10	19:10	Human Anatomy & Physiology 1 Lab	BIO365 C	Prof. Chloe Hallyburton	212
Wednesday	16:10	19:10	Human Anatomy & Physiology 1 Lab	BIO365 D	Prof. Wyatt Moss	212
Tuesday	12:55	14:20	Kinesiology	BIO420 A	Dr. Terence Favero	212
Thursday	12:55	14:20	Kinesiology	BIO420 A	Dr. Terence Favero	212
Tuesday	16:10	19:10	Human Anatomy Dissection	BIO477 A	Prof. John White	212
Tuesday	14:30	17:30	Cell and Molecular Biology Lab	BIO372 A	Dr. David Wynne	241
Wednesday	13:35	16:35	Developmental Biology Lab	BIO376 A	Dr. Laura Dyer	241
Tuesday	9:45	12:45	Microbiology Lab	BIO361 A	Dr. Ryan Kenton	245
Wednesday	14:40	17:40	Microbiology for Nurses Lab	BIO379 A	Dr. Mihail Iordanov	245
Thursday	14:30	17:30	Microbiology for Nurses Lab	BIO379 D	Dr. Mihail Iordanov	245
